publication_title,print_identifier,title_url,title_id,publisher_name,parent_publication_title_id
1987 Symposium on the on Simulation of Computer Networks,978-0-8186-0782-0,https://dl.acm.org/doi/book/10.5555/41298,10.5555/41298,IEEE Press,acmconferences
1st Europe Summer School: Data Science,978-1-4503-7315-9,https://dl.acm.org/doi/book/10.1145/3168836,10.1145/3168836,Association for Computing Machinery,acmconferences
1st International Workshop on Multimodal Understanding and Learning for Embodied Applications,978-1-4503-6918-3,https://dl.acm.org/doi/book/10.1145/3347450,10.1145/3347450,Association for Computing Machinery,acmconferences
2007 ACM/SIGDA Dinner and Open Member Meeting,978-1-4503-4742-6,https://dl.acm.org/doi/book/10.1145/1324499,10.1145/1324499,Association for Computing Machinery,acmconferences
2008 ACM/SIGDA Dinner and Open Member Meeting,978-1-4503-7926-7,https://dl.acm.org/doi/book/10.1145/1551910,10.1145/1551910,Association for Computing Machinery,acmotherconferences
2009 Information Security Curriculum Development Conference,978-1-60558-661-8,https://dl.acm.org/doi/book/10.1145/1940976,10.1145/1940976,Association for Computing Machinery,acmotherconferences
2009 SIAM/ACM Joint Conference on Geometric and Physical Modeling,978-1-60558-711-0,https://dl.acm.org/doi/book/10.1145/1629255,10.1145/1629255,Association for Computing Machinery,acmotherconferences
2010 Information Security Curriculum Development Conference,978-1-4503-0202-9,https://dl.acm.org/doi/book/10.1145/1940941,10.1145/1940941,Association for Computing Machinery,acmotherconferences
"2015 ACM International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software (Onward!)",978-1-4503-3688-8,https://dl.acm.org/doi/book/10.1145/2814228,10.1145/2814228,Association for Computing Machinery,acmconferences
2015 Software Infrastructure for Sustained Innovation (SI2) Principal Investigators Workshop,,https://dl.acm.org/doi/book/10.5555/2764957,10.5555/2764957,National Science Foundation,dlbooks
2015 Workshop on Intelligent and Information Systems for Geosciences,,https://dl.acm.org/doi/book/10.5555/2856633,10.5555/2856633,National Science Foundation,dlbooks
2016 Software Infrastructure for Sustained Innovation (SI2) PI Workshop,,https://dl.acm.org/doi/book/10.5555/2965630,10.5555/2965630,National Science Foundation,dlbooks
2019 International Conference on Multimodal Interaction,978-1-4503-6860-5,https://dl.acm.org/doi/book/10.1145/3340555,10.1145/3340555,Association for Computing Machinery,acmotherconferences
23rd International Conference on Intelligent User Interfaces,978-1-4503-4945-1,https://dl.acm.org/doi/book/10.1145/3172944,10.1145/3172944,Association for Computing Machinery,acmconferences
25 years of the international symposia on Computer architecture (selected papers),978-1-58113-058-4,https://dl.acm.org/doi/book/10.1145/285930,10.1145/285930,Association for Computing Machinery,acmconferences
25th ACM Symposium on Virtual Reality Software and Technology,978-1-4503-7001-1,https://dl.acm.org/doi/book/10.1145/3359996,10.1145/3359996,Association for Computing Machinery,acmconferences
2nd international workshop on Service oriented software engineering: in conjunction with the 6th ESEC/FSE joint meeting,978-1-59593-723-0,https://dl.acm.org/doi/book/10.1145/1294928,10.1145/1294928,Association for Computing Machinery,acmconferences
3C ON-LINE,1078-2192,https://dl.acm.org/loi/sig3c,sig3c,Association for Computing Machinery,
6th International Conference on Digital Libraries for Musicology,978-1-4503-7239-8,https://dl.acm.org/doi/book/10.1145/3358664,10.1145/3358664,Association for Computing Machinery,acmotherconferences
A Framework for Scientific Discovery through Video Games,978-1-62705-504-8,https://dl.acm.org/doi/book/10.1145/2625848,10.1145/2625848,Association for Computing Machinery and Morgan & Claypool,acmbooks
A Library List on Undergraduate Computer Science Computer Engineering and Information Systems,,https://dl.acm.org/doi/book/10.1145/2594491,10.1145/2594491,Association for Computing Machinery,acmotherbooks
A Model Curriculum for Doctoral-Level Programs in Health Computing,978-0-89791-046-0,https://dl.acm.org/doi/book/10.1145/2594499,10.1145/2594499,Association for Computing Machinery,acmotherbooks
A Model Curriculum for K--12 Computer Science,978-1-58113-837-5,https://dl.acm.org/doi/book/10.1145/2593247,10.1145/2593247,Association for Computing Machinery,acmotherbooks
A New Age of Computing and the Brain,,https://dl.acm.org/doi/book/10.5555/2837681,10.5555/2837681,National Science Foundation,dlbooks
A framework for distributed database systems,,https://dl.acm.org/doi/book/10.1145/1387149,10.1145/1387149,Association for Computing Machinery,acmotherbooks
A history of medical informatics,978-0-201-50128-5,https://dl.acm.org/doi/book/10.1145/89482,10.1145/89482,Association for Computing Machinery,acmotherbooks
A history of personal workstations,978-0-201-11259-7,https://dl.acm.org/doi/book/10.1145/61975,10.1145/61975,Association for Computing Machinery,acmotherbooks
A history of scientific computing,978-0-201-50814-7,https://dl.acm.org/doi/book/10.1145/87252,10.1145/87252,Association for Computing Machinery,acmotherbooks
